location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped
1,0.0011,11.4896,2026-02-26_23h44.28.837,ant_ver113,2025.2.3,Win32,117.6470588,123780,123780,,
1,,,2026-02-26_23h44.28.837,ant_ver113,2025.2.3,Win32,117.6470588,123780,123780,11.49,38.4021
