location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0004,11.966,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,11.9661,127.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,127.1558,180.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,180.2275,181.3356,1.1,181.336,185.3127,left,1,0.8599,,185.313,186.3455,0,0,0,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,186.3461,187.3336,1,187.334,191.309,right,0,0.5768,,191.3093,192.3365,0,1,1,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,192.3368,193.6799,1.35,193.6803,197.6613,left,0,0.3303,,197.6613,198.687,0,2,2,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,198.6873,199.6782,1,199.6785,203.6869,right,1,1.1122,,203.6879,204.678,0,3,3,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,204.6782,206.1609,1.5,206.1612,210.1384,left,1,1.0386,,210.1391,211.1617,0,4,4,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,211.1619,212.4394,1.3,212.4396,216.4352,left,1,0.8437,,216.4359,217.4475,0,5,5,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,217.4477,217.8802,0.45,217.8805,221.8596,right,1,0.8434,,221.86,222.8653,0,6,6,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,222.8655,223.4056,0.55,223.4059,227.4089,right,1,0.9839,,227.4092,228.4148,0,7,7,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,228.415,229.3153,0.9,229.3155,233.3147,left,1,0.7994,,233.3153,234.3211,0,8,8,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,234.3213,235.2192,0.9,235.2194,239.1995,left,1,0.7328,,239.1998,240.2036,0,9,9,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,240.2038,240.7435,0.55,240.744,244.7191,left,1,1.6356,,244.7195,245.7296,0,10,10,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,245.7298,246.5238,0.8,246.5242,250.5253,right,1,0.8042,9.99999E-05,250.5257,251.5121,0,11,11,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,251.5123,252.6415,1.15,252.6417,256.6271,right,1,0.5988,,256.628,257.6334,0,12,12,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,257.6335,258.4767,0.85,258.4771,262.4707,right,1,0.7021,,262.4713,263.4586,0,13,13,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,263.4588,265.0023,1.55,265.0026,268.9845,,0,,,268.9849,269.9944,0,14,14,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,269.9947,271.5307,1.55,271.5312,275.5076,left,1,0.7578,,275.508,276.5075,0,15,15,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,276.5077,277.5987,1.1,277.5989,281.6054,right,1,0.7518,,281.6057,282.6072,0,16,16,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,282.6074,283.2001,0.6,283.2003,287.188,,0,,,287.1886,288.1892,0,17,17,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,288.1893,289.5664,1.4,289.5667,293.5668,left,1,0.6855,,293.5672,294.5684,0,18,18,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,294.5686,294.9424,0.4,294.9427,298.947,,0,,,298.9473,299.9165,0,19,19,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,299.9167,300.9665,1.05,300.9668,304.9458,left,1,0.5377,,304.9463,305.953,0,20,20,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,305.9532,307.4977,1.55,307.498,311.4836,left,1,0.6121,,311.4842,312.4941,0,21,21,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,312.4943,312.9832,0.5,312.9834,316.9662,right,1,0.7989,,316.9666,317.9773,0,22,22,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,317.9776,318.4317,0.45,318.432,322.4302,left,1,1.559,,322.4305,323.4084,0,23,23,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,,,,,,,,,,,,,,,,,,,,,,323.4086,378.6159,space,45.1366,,,,,,,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,378.63,379.4331,0.8,379.4334,383.4172,right,1,0.8566,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,0,0,39,1,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,383.4176,384.3721,0.95,384.3724,388.3578,left,1,1.6113,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,1,1,42,1,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,388.358,388.7419,0.4,388.7421,392.7225,right,1,0.8229,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,2,2,3,1,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,392.7227,393.3425,0.65,393.3427,397.3493,right,1,0.5487,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,3,3,45,1,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,397.3494,398.0006,0.65,398.0009,402.0054,left,1,0.7746,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,4,4,12,1,,,,,,,,,
1,,,2026-03-07_16h56.28.331,ant_ver113,2025.2.3,Win32,23.92344498,127620,127620,,,,,402.0056,402.4519,0.45,402.4521,406.4408,right,1,0.5656,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,5,5,13,1,,,,,,,,,
