PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,687.097,687.945,0.85,687.947,691.945,left,1,0.588,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,1,46,94,46,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,691.946,692.445,0.5,692.446,696.445,left,1,0.419,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,1,47,95,5,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.449,1033.27,0,0,0,0,1
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1033.275,1034.82,1.55,1034.822,1038.821,right,1,0.434,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,0,0,43,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1038.822,1040.121,1.3,1040.122,1044.121,left,1,0.488,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,1,1,9,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1044.121,1044.721,0.6,1044.721,1048.721,right,1,0.401,,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,2,2,47,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1048.721,1049.121,0.4,1049.122,1053.121,left,1,0.368,,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,3,3,17,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1053.122,1053.771,0.65,1053.772,1057.771,right,0,0.52,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,4,4,22,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1057.772,1058.971,1.2,1058.972,1062.971,right,1,0.433,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,5,5,23,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1062.972,1063.921,0.95,1063.922,1067.921,left,1,0.371,,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,6,6,1,1,,,,,,,
