location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped
1,0.000200001,11.7176,2026-02-10_09h49.50.544,ant_ver113,2025.2.3,MacIntel,120.4819277,119199,119199,,
1,,,2026-02-10_09h49.50.544,ant_ver113,2025.2.3,MacIntel,120.4819277,119199,119199,11.7176,23.6801
