location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,171.4795,172.7291,1.25,172.7299,176.7291,,0,176.7292,177.7282,0,19,19,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,177.7285,211.0583,0.75,211.0588,213.2581,,0,213.2581,216.0583,0,20,20,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,216.0587,244.328,1.4,244.3285,246.5292,,0,246.5294,249.3289,0,21,21,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,249.3293,257.1371,0.7,257.1373,283.7456,,0,283.7456,283.7456,0,22,22,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,283.7459,283.7537,0.95,283.7539,285.9537,,0,285.9538,1195.1841,0,23,23,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,,,,,,,,,,,,,,,,,,,,1195.1844,1205.3353,space,0.1342,,,,,,
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1205.3506,1205.9017,0.55,1205.9026,1209.9013,,0,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,0,0,30,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1209.902,1210.3005,0.4,1210.3012,1214.3014,,0,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,1,1,13,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1214.3019,1215.0003,0.7,1215.001,1219.0014,,0,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,2,2,46,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1219.0018,1219.7004,0.7,1219.7008,1223.701,,0,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,3,3,45,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1223.7012,1224.9513,1.25,1224.9521,1228.9514,,0,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,4,4,23,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1228.9521,1229.8014,0.85,1229.8022,1233.8012,,0,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,5,5,10,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1233.802,1234.2012,0.4,1234.202,1238.2011,,0,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,6,6,15,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1238.2015,1238.8514,0.65,1238.852,1242.8515,,0,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,7,7,43,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1242.8522,1244.2514,1.4,1244.2522,1248.251,,0,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,8,8,42,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1248.2512,1249.3011,1.05,1249.3018,1253.3007,,0,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,9,9,26,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1253.3011,1254.8015,1.5,1254.8023,1258.8013,,0,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,10,10,9,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1258.8021,1260.1515,1.35,1260.152,1270.2093,,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,11,11,37,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1270.2094,1270.2173,1.2,1270.2175,1272.4167,,0,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,12,12,18,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1272.4171,1336.2081,0.9,1336.2084,1338.4097,,0,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,13,13,2,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1338.4104,1339.4094,1,1339.4101,1381.6048,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,14,14,20,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1381.6051,1381.6122,0.55,1381.6124,1580.4419,,0,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,15,15,5,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1580.4422,1580.4499,0.75,1580.4501,1707.0455,,0,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,0,16,16,6,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,1707.0457,1707.0537,1.05,1707.0539,6379.621,,0,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,17,17,39,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,6379.6213,6379.6321,0.65,6379.6324,6600.1939,,0,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,18,18,25,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,6600.1942,6600.2021,1.3,6600.2024,6602.4023,,0,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,19,19,21,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,6602.4026,6603.752,1.35,6603.7524,6608.2706,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,20,20,17,1
1,,,2026-02-10_18h47.30.720,ant_ver113,2025.2.3,MacIntel,106.3829787,130244,130244,,,,,6608.2706,6608.2769,0.5,6608.277,6612.2771,,0,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,21,21,14,1
