location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,0.0003,24.8562,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,24.8565,40.6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,40.64,58.2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,58.2802,58.8236,0.55,58.8245,62.8241,,0,62.8244,63.8239,0,0,0,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,63.8246,64.8228,1,64.8236,68.824,,0,68.8241,69.8241,0,1,1,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,69.8249,70.7739,0.95,70.7743,74.773,,0,74.773,75.7739,0,2,2,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,75.7743,76.4238,0.65,76.4244,80.4243,right,0,80.4244,81.4244,0,3,3,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.5683,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,81.425,82.2243,0.8,82.2249,86.2245,right,0,86.2247,87.2245,0,4,4,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,1.5213,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,87.2249,88.3742,1.15,88.3747,92.3735,right,1,92.3746,93.3747,0,5,5,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.8938,,,,,,,,,,,
1,,,2026-02-11_15h13.08.489,ant_ver113,2025.2.3,MacIntel,59.52380952,121177,121177,,,,,93.375,94.4748,1.1,94.4754,98.475,right,1,98.476,99.475,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,1.389,,,,,,,,,,,
