location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0,41.16,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,41.161,64.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,64.195,77.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,77.952,79.245,1.3,79.247,83.246,right,1,1.271,,83.246,84.245,0,0,0,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,84.247,85.045,0.8,85.046,89.045,right,1,0.566,,89.046,90.045,0,1,1,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,90.046,91.295,1.25,91.296,95.295,left,1,0.458,,95.296,96.295,0,2,2,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,96.296,96.695,0.4,96.696,100.695,right,1,0.419,,100.696,101.696,0,3,3,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,101.697,102.545,0.85,102.547,106.546,left,1,0.454,,106.547,107.545,0,4,4,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,107.546,108.446,0.9,108.447,112.446,right,1,0.384,,112.447,113.446,0,5,5,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,113.447,114.146,0.7,114.147,118.146,left,1,0.367,,118.148,119.146,0,6,6,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,119.148,119.696,0.55,119.697,123.696,left,1,0.438,,123.697,124.696,0,7,7,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,124.697,125.346,0.65,125.348,129.346,left,1,0.359,,129.347,130.346,0,8,8,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,130.347,131.896,1.55,131.898,135.896,right,0,0.436,,135.898,136.896,0,9,9,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,136.897,137.796,0.9,137.798,141.797,left,1,0.757,,141.798,142.797,0,10,10,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,142.797,143.797,1,143.797,147.797,left,1,0.625,,147.798,148.797,0,11,11,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,148.798,150.296,1.5,150.297,154.297,left,1,0.484,,154.298,155.297,0,12,12,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,155.298,156.697,1.4,156.698,160.697,left,1,0.45,,160.698,161.697,0,13,13,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_16h38.52.815,ant_ver113,2025.2.3,MacIntel,58.82352941,117586,117586,,,,,161.698,162.347,0.65,162.348,166.347,left,1,0.433,,166.349,167.347,0,14,14,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
