location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,End.started,End.stopped
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,139.363,140.911,1.55,140.912,144.918,,0,144.919,145.907,0,17,17,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,145.907,147.107,1.2,147.107,151.102,,0,151.102,152.101,0,18,18,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,152.101,153.203,1.1,153.204,157.201,,0,157.201,158.199,0,19,19,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,158.199,159.349,1.15,159.349,163.346,,0,163.347,164.346,0,20,20,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,164.346,165.645,1.3,165.645,169.642,,0,169.642,170.641,0,21,21,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,170.642,172.039,1.4,172.04,176.037,,0,176.037,177.037,0,22,22,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,177.037,177.687,0.65,177.687,181.684,,0,181.684,182.684,0,23,23,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,,,,,,,,,,,,,,,,,,,,182.687,196.192,space,3.484,,,,,,,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,196.199,197.74,1.55,197.74,201.737,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,0,0,35,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,201.738,202.187,0.45,202.187,206.184,,0,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,1,1,28,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,206.184,206.934,0.75,206.935,210.931,,0,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,2,2,12,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,210.931,212.481,1.55,212.481,216.478,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,3,3,31,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,216.478,217.476,1,217.477,221.475,,0,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,4,4,3,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,221.475,222.123,0.65,222.123,226.12,,0,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,5,5,22,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,226.121,227.42,1.3,227.421,231.417,,0,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,6,6,43,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,231.417,232.567,1.15,232.567,236.564,,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,7,7,37,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,236.565,237.514,0.95,237.514,241.511,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,8,8,16,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,241.511,242.91,1.4,242.91,246.907,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,9,9,20,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,246.907,247.757,0.85,247.757,251.754,,0,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,10,10,9,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,251.755,253.003,1.25,253.003,257.001,,0,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,11,11,40,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,257.001,257.95,0.95,257.951,261.948,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,12,12,17,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,261.948,262.847,0.9,262.847,266.844,,0,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,13,13,18,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,266.845,267.994,1.15,267.994,271.991,,0,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,14,14,11,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,271.991,273.24,1.25,273.24,277.237,,0,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,15,15,32,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,277.238,278.536,1.3,278.536,282.534,,0,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,16,16,15,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,282.535,283.284,0.75,283.284,287.281,,0,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,17,17,41,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,287.282,288.78,1.5,288.78,292.777,,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,18,18,1,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,292.778,294.276,1.5,294.277,298.273,,0,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,19,19,25,1,,,,,,,,,,,
1,,,2026-02-13_14h34.03.234,ant_ver113,2025.2.3,MacIntel,58.82352941,127079,127079,,,,,298.273,299.172,0.9,299.173,303.17,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,20,20,29,1,,,,,,,,,,,
