location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation
1,1E-04,18.9566,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,18.9569,30.2052,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,30.2055,41.7066,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,41.7307,42.5727,0.85,42.5742,46.5728,left,1,1.0897,,46.5731,47.5714,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,47.5717,48.5225,0.95,48.5235,52.5227,right,0,0.6495,,52.5237,53.5226,0,1,1,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,53.5234,54.5226,1,54.5234,58.5225,,0,,,58.5225,59.5215,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,59.522,60.2722,0.75,60.2723,64.2725,left,1,0.8831,,64.2736,65.2726,0,3,3,9,1,stim/centre.png,stim/congLeft.png,-1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,65.2732,66.6725,1.4,66.6734,70.6726,left,1,0.6831,,70.6737,71.6723,0,4,4,4,1,stim/centre.png,stim/congLeft.png,1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,71.6729,72.2716,0.6,72.2723,76.2725,right,1,0.5483,,76.2739,77.2727,0,5,5,0,1,stim/centre.png,stim/congRight.png,-1,right,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,77.2733,78.4226,1.15,78.4234,82.4222,right,0,0.4327,,82.4231,83.4226,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,83.4233,84.3226,0.9,84.3234,88.3228,,0,,,88.323,89.3218,0,7,7,7,1,stim/blank.png,stim/incongRight.png,-1,right,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,89.3223,89.8726,0.55,89.8733,103.0792,,0,,,103.0793,103.0794,0,8,8,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0
1,,,2026-02-25_13h53.06.486,ant_ver113,2025.2.3,MacIntel,59.88023952,108034,108034,,,,,103.0798,103.0891,1.3,103.0895,105.2895,right,0,1.1659,,105.2895,126.1407,0,9,9,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0
