location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
3,0.0005,15.3958,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,15.3963,39.0799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,39.0801,88.9971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,89.0273,90.1796,1.15,90.1803,94.177,left,1,1.1299,,94.1775,95.1768,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,95.1779,95.7759,0.6,95.777,99.7733,,0,,,99.7746,100.7724,0,1,1,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,100.7734,102.0716,1.3,102.0728,106.0694,,0,,,106.0695,107.0681,0,2,2,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,107.0688,108.3178,1.25,108.3188,112.3153,,0,,,112.3154,113.3138,0,3,3,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,113.3145,114.0637,0.75,114.0648,118.0615,,0,,,118.0618,119.0608,0,4,4,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,119.0616,120.26,1.2,120.2609,124.2564,right,1,0.8178,,124.2576,125.2569,0,5,5,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-09_15h49.04.212,ant_ver113,2025.2.3,MacIntel,60.60606061,6478,6478,,,,,125.2575,126.1061,0.85,126.1071,130.1033,,0,,,130.1042,131.1022,0,6,6,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
