location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
2,0.0002,14.0765,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,14.0766,42.7102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,42.7104,57.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,57.7861,58.826,1.05,58.827,62.8268,left,1,1.4596,,62.8271,63.8268,0,0,0,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,63.8277,64.6265,0.8,64.6272,68.6265,left,1,0.6339,,68.6275,69.6265,0,1,1,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,69.6271,70.7764,1.15,70.7771,74.777,right,1,0.6657,,74.7781,75.7765,0,2,2,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,75.7771,77.0764,1.3,77.0773,81.0758,left,1,0.649,,81.0769,82.0765,0,3,3,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,82.0769,82.6764,0.6,82.6773,86.6764,right,1,1.0152,,86.6776,87.6765,0,4,4,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,87.6771,88.6765,1,88.6774,92.6765,right,1,0.6202,,92.6776,93.6765,0,5,5,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,
2,,,2026-02-23_15h48.41.211,ant_ver113,2025.2.3,MacIntel,59.88023952,13494,13494,,,,,93.677,94.4256,0.75,94.4263,98.4264,left,0,0.5657,,98.4272,99.4255,0,6,6,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
