location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,resp.rt,resp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0004,10.3387,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,10.339,39.4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,39.4504,50.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,50.83,52.3167,1.5,52.3179,56.34,,0,56.3403,57.297,0,0,0,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,57.2977,57.9393,0.65,57.9398,61.9394,,0,61.9396,62.9435,0,1,1,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,62.9439,64.5281,1.55,64.5287,68.5281,,0,68.5281,69.5181,0,2,2,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,69.5184,70.3202,0.8,70.3209,74.3117,,0,74.3117,75.3186,0,3,3,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,75.319,76.4116,1.1,76.4123,80.3984,,0,80.3985,81.3784,0,4,4,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,81.379,82.3792,1,82.3802,86.3449,,0,86.345,87.3451,0,5,5,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,87.3455,88.1966,0.85,88.1974,92.1923,,0,92.1924,93.1942,0,6,6,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,93.1947,93.7408,0.55,93.7414,97.744,,0,97.744,98.7117,0,7,7,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,98.7121,99.1609,0.45,99.1616,103.1444,,0,103.1444,104.161,0,8,8,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,104.1614,104.7112,0.55,104.7119,108.7195,,0,108.7196,109.7161,0,9,9,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-27_03h14.40.839,ant_ver113,2025.2.3,MacIntel,29.58579882,118785,118785,,,,,109.7167,110.3609,0.65,110.3632,114.3762,,0,114.3763,115.361,0,10,10,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
