location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,resp.rt,resp.duration,blockLoop.order,mainLoop.order
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,187.6457,188.8934,1.25,188.8947,192.8918,,0,192.892,193.8912,0,17,17,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,193.892,194.3402,0.45,194.3418,198.341,,0,198.341,199.339,0,18,18,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,199.3398,199.784,0.45,199.7846,203.7819,,0,203.7819,204.7875,0,19,19,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,204.788,205.987,1.2,205.9887,209.9801,,0,209.9801,210.9852,0,20,20,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,210.9864,211.4851,0.5,211.4863,215.4842,,0,215.4842,216.4772,0,21,21,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,216.4778,217.1267,0.65,217.1286,221.115,,0,221.1151,222.1169,0,22,22,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,222.1174,223.1585,1.05,223.1613,227.1619,,0,227.162,228.1619,0,23,23,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,,,,,,,,,,,,,,,,,,,,228.1629,243.9414,space,5.7482,,,,,,,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,243.9613,244.9004,0.95,244.9023,248.8978,,0,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,0,0,15,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,248.8989,249.7979,0.9,249.7991,253.7971,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,1,1,20,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,253.7977,255.2455,1.45,255.2463,259.2439,,0,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,2,2,32,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,259.2447,260.2447,1,260.2465,264.2432,,0,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,,,,,,0,3,3,33,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,264.2447,264.6921,0.45,264.6934,268.6915,,0,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,4,4,10,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,268.693,269.8405,1.15,269.8415,273.8396,,0,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,5,5,43,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,273.8402,274.4405,0.6,274.4417,278.4377,,0,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,6,6,27,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,278.4384,278.8873,0.45,278.8891,282.8859,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,7,7,16,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,282.8872,284.2849,1.4,284.2861,288.2841,,0,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,8,8,28,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,288.2857,288.7836,0.5,288.7855,292.7817,,0,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,9,9,40,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,292.7825,294.332,1.55,294.3338,298.3308,,0,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,0,10,10,23,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,298.3314,299.3796,1.05,299.381,303.3782,,0,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,11,11,42,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,303.3791,304.5778,1.2,304.5793,308.5764,,0,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,12,12,34,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,308.5768,309.3754,0.8,309.3765,313.3742,,0,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,13,13,9,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,313.3755,313.7746,0.4,313.7765,317.7732,,0,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,,,,,,0,14,14,47,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,317.7746,318.9719,1.2,318.9732,322.9708,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,15,15,31,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,322.9712,323.5696,0.6,323.5702,327.5688,,0,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,16,16,44,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,327.5693,328.9687,1.4,328.9711,332.967,,0,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,17,17,41,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,332.9677,334.0166,1.05,334.0182,338.0153,,0,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,18,18,7,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,338.0168,339.2642,1.25,339.2653,343.2632,,0,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,19,19,18,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,343.2647,344.1637,0.9,344.1653,348.1619,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,0,20,20,17,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,348.1634,349.4105,1.25,349.4116,353.41,,0,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,21,21,13,1,,,,,,,,,,,
3,,,2026-02-11_13h20.23.475,ant_ver113,2025.2.3,Win32,59.52380952,5995,5995,,,,,353.4117,354.5591,1.15,354.5603,358.558,,0,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,22,22,24,1,,,,,,,,,,,
