location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped
1,0,31.719,2026-03-07_16h34.23.753,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,
1,,,2026-03-07_16h34.23.753,ant_ver113,2025.2.3,MacIntel,50,129574,129574,31.719,44.091
