location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
3,0,13.575,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,13.575,26.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,26.541,48.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,48.959,49.908,0.95,49.91,53.908,right,1,0.733,,53.908,54.908,0,0,0,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,54.909,55.708,0.8,55.71,59.708,right,1,0.608,,59.71,60.707,0,1,1,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,60.708,62.058,1.35,62.059,66.058,left,1,0.653,,66.06,67.058,0,2,2,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,67.06,68.358,1.3,68.36,72.359,right,1,0.681,,72.363,73.358,0,3,3,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,73.361,74.309,0.95,74.31,78.308,right,1,0.635,,78.309,79.309,0,4,4,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,79.309,80.458,1.15,80.46,84.458,left,1,0.672,,84.459,85.458,0,5,5,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-11_20h21.52.705,ant_ver113,2025.2.3,MacIntel,60.0240096,6049,6049,,,,,85.459,86.808,1.35,86.809,90.808,left,1,0.781,,90.81,91.808,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
