location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,resp.rt,resp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,172.9791,173.4785,0.5,173.4792,177.4785,,0,177.4786,178.4786,0,16,16,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,178.4792,179.3779,0.9,179.3788,183.3786,,0,183.3786,184.3787,0,17,17,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,184.3792,184.8288,0.45,184.8297,188.8288,,0,188.8289,189.829,0,18,18,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,189.8294,190.6788,0.85,190.6793,194.6791,,0,194.6791,195.6791,0,19,19,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,195.6796,196.5791,0.9,196.5799,200.5792,,0,200.5794,201.5791,0,20,20,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,201.5795,202.7791,1.2,202.7797,206.7793,,0,206.7794,207.7794,0,21,21,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,207.78,209.1296,1.35,209.1303,213.1296,,0,213.1298,214.1296,0,22,22,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,214.1302,214.6296,0.5,214.6305,218.6297,,0,218.6299,219.6297,0,23,23,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,,,,,,,,,,,,,,,,,,,,219.6304,255.4472,space,25.7882,,,,,,,,,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,255.4605,256.3141,0.85,256.3149,260.3137,left,0,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0.9031,,0,0,0,7,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,260.3145,261.1143,0.8,261.1151,265.1144,,0,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,,,0,1,1,36,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,265.115,265.6644,0.55,265.6652,269.6646,,0,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,,,0,2,2,45,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,269.6652,270.9647,1.3,270.9653,274.9647,,0,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,0,3,3,13,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,274.9652,275.614,0.65,275.615,279.6148,,0,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,0,4,4,2,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,279.6155,280.2648,0.65,280.2656,284.265,,0,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,0,5,5,5,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,284.2657,285.1142,0.85,285.115,289.1152,,0,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,,,0,6,6,40,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,289.116,290.5652,1.45,290.566,294.5653,,0,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,,,0,7,7,34,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,294.566,295.8154,1.25,295.816,299.8147,,0,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,0,8,8,18,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,299.8153,300.2654,0.45,300.2662,304.2655,,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,0,9,9,1,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,304.2662,305.1649,0.9,305.1656,309.1657,,0,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,0,10,10,17,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,309.1663,310.3157,1.15,310.3164,314.3159,,0,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,,,0,11,11,35,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,314.3165,315.7158,1.4,315.7166,319.716,left,0,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,1.4179,,0,12,12,3,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,319.7166,320.916,1.2,320.9167,324.9162,,0,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,0,13,13,16,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,324.9167,325.6661,0.75,325.6669,329.6653,right,1,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,1.1823,,0,14,14,43,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,329.6659,330.6158,0.95,330.6167,334.6165,right,1,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,1.5988,,0,15,15,27,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,334.6169,335.0665,0.45,335.0671,339.0665,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,1.0815,,0,16,16,4,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,339.0671,340.4166,1.35,340.4172,344.4168,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,1.0492,,0,17,17,37,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,344.4172,344.9666,0.55,344.9674,348.9668,,0,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,0,18,18,9,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,348.9673,349.7668,0.8,349.7676,353.766,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,1.3501,,0,19,19,15,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,353.7665,355.066,1.3,355.0666,359.067,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,1.2488,,0,20,20,0,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,359.0677,359.5662,0.5,359.5671,363.5672,,0,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,0,21,21,23,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,363.5677,364.7172,1.15,364.7179,368.7174,left,1,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0.9919,,0,22,22,8,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,368.718,369.2164,0.5,369.2172,373.2166,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,1.2495,,0,23,23,46,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,373.2171,373.8175,0.6,373.8181,377.8167,,0,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,,,0,24,24,24,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,377.817,378.5176,0.7,378.5184,382.5178,right,1,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0.9701,,0,25,25,19,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,382.5184,383.5678,1.05,383.5686,387.5678,right,1,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,1.0198,,0,26,26,25,1,,,,,,,,,
1,,,2026-02-11_14h52.17.254,ant_ver113,2025.2.3,MacIntel,59.88023952,130044,130044,,,,,387.5684,388.968,1.4,388.9687,392.9673,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,1.3826,,0,27,27,21,1,,,,,,,,,
