location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,0,11.547,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,11.547,32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,32.23,72.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,72.673,74.112,1.45,74.114,78.113,right,1,1.298,,78.114,79.111,0,0,0,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,79.112,80.112,1,80.113,84.112,left,1,0.682,,84.113,85.112,0,1,1,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,85.113,86.412,1.3,86.413,90.411,left,1,0.626,,90.413,91.412,0,2,2,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,91.413,92.912,1.5,92.913,96.912,left,1,0.525,,96.914,97.912,0,3,3,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,97.912,98.462,0.55,98.463,102.462,right,1,0.419,,102.463,103.462,0,4,4,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,103.463,104.912,1.45,104.913,108.912,left,0,0.526,,108.913,109.912,0,5,5,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,
1,,,2026-03-10_11h40.24.500,ant_ver113,2025.2.3,MacIntel,62.5,129386,129386,,,,,109.912,110.511,0.6,110.512,114.511,,0,,,114.512,115.512,0,6,6,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,
