location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0,11.056,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,11.057,30.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,30.024,45.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,45.614,46.406,0.8,46.408,50.407,right,1,1.625,,50.407,51.407,0,0,0,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,51.407,52.556,1.15,52.557,56.556,left,1,0.683,,56.557,57.556,0,1,1,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,57.557,58.106,0.55,58.107,62.106,right,1,0.98,,62.107,63.106,0,2,2,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,63.106,64.356,1.25,64.357,68.356,left,1,0.606,,68.357,69.356,0,3,3,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,69.356,70.156,0.8,70.157,74.156,left,1,0.766,,74.157,75.156,0,4,4,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,75.157,75.906,0.75,75.907,79.906,right,1,0.482,,79.907,80.906,0,5,5,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,80.906,82.056,1.15,82.057,86.056,left,1,0.801,,86.057,87.056,0,6,6,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,87.057,88.506,1.45,88.507,92.506,left,1,0.684,,92.507,93.506,0,7,7,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,93.506,94.156,0.65,94.157,98.156,left,1,0.818,,98.157,99.156,0,8,8,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,99.156,100.706,1.55,100.706,104.706,left,1,0.8,,104.707,105.706,0,9,9,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,105.706,106.856,1.15,106.857,110.856,left,1,0.473,,110.857,111.856,0,10,10,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,111.857,112.406,0.55,112.406,116.406,left,1,0.551,,116.407,117.406,0,11,11,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,117.406,117.906,0.5,117.906,121.906,left,0,0.435,,121.907,122.906,0,12,12,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,122.906,123.856,0.95,123.857,127.856,left,1,0.752,,127.858,128.856,0,13,13,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,128.857,129.456,0.6,129.457,133.456,right,1,0.584,,133.457,134.455,0,14,14,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,134.456,135.256,0.8,135.257,139.256,right,1,0.589,,139.257,140.256,0,15,15,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,140.256,141.805,1.55,141.806,145.806,left,1,0.701,,145.807,146.805,0,16,16,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,146.806,147.556,0.75,147.556,151.556,right,1,0.766,,151.557,152.556,0,17,17,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,152.556,153.805,1.25,153.806,157.806,right,1,0.601,,157.807,158.805,0,18,18,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,158.806,159.256,0.45,159.256,163.255,left,1,0.734,,163.257,164.256,0,19,19,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_14h17.18.153,ant_ver113,2025.2.3,MacIntel,58.82352941,107572,107572,,,,,164.256,165.355,1.1,165.356,169.356,left,1,0.689,,169.357,170.356,0,20,20,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
