location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped
3,0.001,12.607,2026-02-11_14h44.53.946,ant_ver113,2025.2.3,MacIntel,58.82352941,4948,4948,,
3,,,2026-02-11_14h44.53.946,ant_ver113,2025.2.3,MacIntel,58.82352941,4948,4948,12.607,40.087
