PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1105.2366,1105.887,0.65,1105.8886,1109.8858,right,1,0.8337,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,1,36,84,3,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1109.8871,1111.3855,1.5,1111.3875,1115.3864,left,1,0.6004,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,1,37,85,37,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1115.3872,1116.4858,1.1,1116.4871,1120.4948,left,1,0.5524,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,1,38,86,10,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1120.4958,1121.3372,0.85,1121.3387,1125.3304,left,1,0.465,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,1,39,87,24,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1125.3315,1126.1799,0.85,1126.1812,1130.1687,left,1,0.5062,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,1,40,88,42,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1130.1696,1130.7688,0.6,1130.7697,1134.769,right,1,0.5703,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,1,41,89,18,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1134.7699,1136.1195,1.35,1136.1202,1140.1191,right,1,0.7769,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,1,42,90,36,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1140.1199,1140.6221,0.5,1140.6227,1144.6188,left,1,0.6067,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,1,43,91,46,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1144.6197,1145.3696,0.75,1145.3707,1149.3684,right,1,0.4586,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,1,44,92,41,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1149.369,1149.8687,0.5,1149.8698,1153.8688,left,1,0.6406,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,1,45,93,34,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1153.8696,1155.2181,1.35,1155.2187,1159.2187,right,1,0.4174,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,1,46,94,35,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1159.2201,1159.7185,0.5,1159.7194,1163.7184,left,1,0.4348,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,1,47,95,9,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.7205,1218.0328,1,0,1,0,1,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1218.0511,1219.0403,1,1219.0418,1223.0343,right,1,0.7998,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,0,0,25,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1223.0349,1224.2287,1.2,1224.2306,1228.2178,left,1,0.5016,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,1,1,10,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1228.2184,1228.9681,0.75,1228.9699,1232.9693,right,1,0.5404,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,0,2,2,45,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1232.9699,1233.9692,1,1233.9696,1237.9816,right,1,0.514,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,0,3,3,36,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1237.9825,1239.4462,1.45,1239.4482,1243.4344,left,1,0.6188,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,0,4,4,42,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1243.4355,1244.3842,0.95,1244.3852,1248.3848,left,1,0.5027,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,5,5,34,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1248.3858,1249.3895,1,1249.3901,1253.3842,left,1,0.5048,,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,0,6,6,9,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1253.3853,1254.2849,0.9,1254.2862,1258.2814,left,1,0.4506,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,7,7,24,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1258.2823,1259.0291,0.75,1259.0306,1263.0201,left,1,0.4548,,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,0,8,8,8,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1263.021,1263.9726,0.95,1263.9738,1267.9654,left,1,0.6182,,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,,,,,,0,9,9,37,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1267.9661,1268.471,0.5,1268.4721,1272.4679,left,1,0.7364,,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,10,10,15,1,,,,,,,,,
