PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.001,16.0754,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,16.0762,42.4804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,42.4807,73.1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,73.1828,73.5725,0.4,73.5744,77.5762,,0,77.5766,78.5769,0,0,0,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,78.578,79.8777,1.3,79.8787,83.8811,right,0,83.8812,84.8818,0,1,1,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,1.1677,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,84.8826,85.5824,0.7,85.5833,89.5853,left,1,89.5866,90.5865,0,2,2,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.9204,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,90.5872,91.9878,1.4,91.9889,95.9912,right,1,95.9932,96.9919,0,3,3,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.7209,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,96.9925,97.5922,0.6,97.5933,101.5958,left,1,101.5974,102.58,0,4,4,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.6073,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,102.5806,104.0812,1.5,104.0821,108.0845,left,1,108.0861,109.0852,0,5,5,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.7038,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,109.0858,110.0862,1,110.0871,114.0896,left,1,114.0913,115.0904,0,6,6,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.9347,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,115.0909,116.2912,1.2,116.2921,120.2947,right,1,120.2956,121.2955,0,7,7,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.5519,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,121.2961,122.0462,0.75,122.047,126.0495,left,1,126.0505,127.0503,0,8,8,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.5042,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,127.051,127.9509,0.9,127.9518,131.9544,left,1,131.9553,132.9551,0,9,9,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.6675,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,132.9557,134.0561,1.1,134.0569,138.0593,right,1,138.0602,139.0602,0,10,10,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.6023,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_11h11.11.936,ant_ver113,2025.2.3,Win32,60.24096386,127899,,,,,139.0608,140.1611,1.1,140.1621,144.1645,left,1,144.1661,145.1653,0,11,11,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.5776,,,,,,,,,,,,,,,,,,,,
