location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.001,14.0545,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,14.0549,59.8204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,59.8206,109.8499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,109.8859,110.6866,0.8,110.6875,114.6871,left,1,0.7389,,114.6873,115.6909,0,0,0,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,115.6915,116.4442,0.75,116.4448,120.4449,left,1,0.7346,,120.4465,121.4321,0,1,1,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,121.4327,122.6708,1.25,122.6713,126.671,left,1,0.4593,,126.6721,127.6595,0,2,2,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,127.6603,128.2623,0.6,128.2633,132.2614,left,1,0.4685,,132.2638,133.2501,0,3,3,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,133.2508,134.2045,0.95,134.2056,138.205,left,1,0.4348,,138.2065,139.2082,0,4,4,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,139.2087,140.4966,1.3,140.4975,144.4976,left,0,0.3574,,144.4986,145.4863,0,5,5,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,145.487,145.8867,0.4,145.8876,149.8882,left,1,0.6352,,149.8893,150.8752,0,6,6,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-01_11h26.26.608,ant_ver113,2025.2.3,Win32,58.47953216,126812,126812,,,,,150.8761,151.2768,0.4,151.2776,155.2776,left,1,0.6689,,155.2788,156.2655,0,7,7,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
