location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation
1,0.0004,17.9562,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,17.9573,39.271,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,39.273,71.237,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,71.2693,72.0189,0.75,72.0206,76.0198,right,0,1.5532,,76.0201,77.0191,0,0,0,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,77.0213,78.0192,1,78.0206,82.0188,left,1,1.3194,,82.022,83.0198,0,1,1,9,1,stim/centre.png,stim/congLeft.png,-1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,83.0205,84.2706,1.25,84.2715,88.2703,,0,,,88.2714,89.2701,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,89.2707,90.8202,1.55,90.8211,94.8204,,0,,,94.8205,95.8203,0,3,3,11,1,stim/upper.png,stim/incongRight.png,1,right,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,95.8209,96.5683,0.75,96.5695,100.5688,,0,,,100.5689,101.5699,0,4,4,23,1,stim/both.png,stim/neutralRight.png,1,right,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,101.5705,102.4702,0.9,102.4709,106.4696,,0,,,106.4697,107.4684,0,5,5,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,107.4689,108.0198,0.55,108.0206,112.0209,,0,,,112.021,113.0194,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,113.0199,114.5691,1.55,114.5699,118.5682,,0,,,118.5685,119.568,0,7,7,1,1,stim/both.png,stim/incongLeft.png,1,left,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,119.5686,120.6184,1.05,120.6196,124.618,,0,,,124.6183,125.6188,0,8,8,0,1,stim/centre.png,stim/congRight.png,-1,right,0
1,,,2026-03-12_23h33.30.151,ant_ver113,2025.2.3,Win32,60.60606061,130418,130418,,,,,125.6193,126.7182,1.1,126.7188,130.7179,,0,,,130.7182,131.7177,0,9,9,7,1,stim/blank.png,stim/incongRight.png,-1,right,0
