location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
3,0.0003,14.4354,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,14.4359,67.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,67.4184,91.7509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,91.7765,93.2174,1.45,93.2184,97.2175,,0,97.2179,98.2176,0,0,0,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,98.2184,98.7173,0.5,98.7183,102.7184,right,1,102.721,103.7173,0,1,1,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.5501,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,103.7177,105.1178,1.4,105.1199,109.1177,,0,109.1191,110.1172,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,110.1175,110.9171,0.8,110.9181,114.917,left,1,114.9181,115.9171,0,3,3,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.5961,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,115.9179,117.2672,1.35,117.2679,121.2671,left,1,121.2685,122.2672,0,4,4,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.8537,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,122.2677,122.7172,0.45,122.7179,126.7171,left,1,126.7189,127.717,0,5,5,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.5569,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-13_16h06.37.926,ant_ver113,2025.2.3,Win32,59.88023952,3112,3112,,,,,127.7173,128.2173,0.5,128.2179,132.2175,left,1,132.2187,133.2179,0,6,6,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5265,,,,,,,,,,,,,,,,,,,,
