location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
2,0.001,15.514,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,15.515,55.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,55.379,72.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,72.34,72.98,0.65,72.982,76.979,,0,76.979,77.978,0,0,0,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,77.979,78.378,0.4,78.379,82.378,right,1,82.379,83.378,0,1,1,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.433,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,83.379,84.578,1.2,84.579,88.578,left,1,88.579,89.578,0,2,2,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.686,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,89.578,90.728,1.15,90.729,94.728,right,1,94.729,95.728,0,3,3,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.886,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,95.729,96.728,1,96.729,100.728,left,1,100.729,101.728,0,4,4,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.481,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,101.729,102.728,1,102.729,106.728,right,1,106.729,107.728,0,5,5,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.671,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,107.728,109.128,1.4,109.129,113.128,right,0,113.129,114.128,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.483,,,,,,,,,,,,,,,,,,,,
2,,,2026-02-25_22h01.33.320,ant_ver113,2025.2.3,MacIntel,62.5,13291,13291,,,,,114.128,114.778,0.65,114.778,118.778,right,1,118.779,119.778,0,7,7,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.608,,,,,,,,,,,,,,,,,,,,
