location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0012,107.7928,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,107.7929,139.5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,139.502,191.4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,191.4267,192.922,1.5,192.9226,196.92,,0,196.9202,197.92,0,0,0,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,197.9204,199.4705,1.55,199.4709,203.4716,,0,203.4718,204.4718,0,1,1,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,204.4721,205.0755,0.6,205.0759,209.0733,,0,209.0733,210.0738,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,210.0743,210.8274,0.75,210.8276,214.8248,left,1,214.8259,215.8256,0,3,3,6,1,stim/blank.png,stim/congLeft.png,1,left,0,1.2843,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,215.826,216.479,0.65,216.4794,220.4767,left,1,220.4774,221.4769,0,4,4,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.98,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,221.4773,221.9294,0.45,221.9297,225.9281,right,1,225.9291,226.9321,0,5,5,23,1,stim/both.png,stim/neutralRight.png,1,right,0,1.0759,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-01_21h22.30.085,ant_ver113,2025.2.3,Win32,60.60606061,130237,130237,,,,,226.9323,227.6787,0.75,227.6792,231.6837,left,1,231.6841,232.6668,0,6,6,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.9839,,,,,,,,,,,,,,,,,,,,
