location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,0.0007,14.4912,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,14.4915,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,29.6503,59.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,59.9794,61.4195,1.45,61.4211,65.4205,right,0,1.3011,,65.421,66.4199,0,0,0,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,66.4207,67.9199,1.5,67.9209,71.9211,left,1,0.7271,,71.9234,72.9207,0,1,1,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,72.9214,74.0213,1.1,74.0219,78.0211,right,1,0.4368,,78.0227,79.0215,0,2,2,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,79.022,80.4212,1.4,80.422,84.4221,left,0,0.4175,,84.4231,85.4215,0,3,3,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,85.4221,85.9715,0.55,85.9725,89.9726,left,1,0.7062,,89.9744,90.9724,0,4,4,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,90.973,91.5722,0.6,91.5729,95.5731,,0,,,95.5739,96.5733,0,5,5,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-04_23h24.20.356,ant_ver113,2025.2.3,Win32,60.24096386,120718,120718,,,,,96.5738,96.973,0.4,96.9736,100.9735,left,1,1.6076,,100.9749,101.9739,0,6,6,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
