location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,0.0003,14.9321,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,14.9323,45.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,45.9996,63.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,63.8745,65.4154,1.55,65.4163,69.4156,left,1,0.87,,69.4159,70.4153,0,0,0,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,70.4161,71.5653,1.15,71.5661,75.5652,right,1,0.499,,75.5664,76.5653,0,1,1,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,76.5659,77.7653,1.2,77.766,81.7653,left,0,0.432,,81.7664,82.7653,0,2,2,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,82.7659,84.0152,1.25,84.016,88.0147,left,1,0.8327,,88.0158,89.0153,0,3,3,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,89.0159,90.5653,1.55,90.566,94.5652,right,0,1.1495,,94.5662,95.5653,0,4,4,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,95.5658,96.2653,0.7,96.266,100.2646,,0,,,100.2647,101.2646,0,5,5,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,101.2653,102.7652,1.5,102.7659,106.7652,right,1,0.782,,106.7664,107.7652,0,6,6,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,107.7657,108.5151,0.75,108.5157,112.5151,left,1,0.5161,,112.5162,113.5152,0,7,7,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,113.5156,114.1652,0.65,114.1658,118.1652,right,1,1.5824,,118.1661,119.1652,0,8,8,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,119.1657,120.0642,0.9,120.0647,124.0642,left,1,0.8387,,124.0649,125.065,0,9,9,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,125.0655,125.7152,0.65,125.7157,129.7153,left,1,1.0202,,129.7162,130.7152,0,10,10,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,130.7157,131.1651,0.45,131.1657,135.1651,left,0,1.0989,,135.1659,136.1652,0,11,11,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,136.1656,137.1153,0.95,137.1159,141.1152,right,0,1.3069,,141.1152,142.1151,0,12,12,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,142.1155,143.5153,1.4,143.5159,147.5153,left,1,0.934,,147.5176,148.5151,0,13,13,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,148.5158,149.3651,0.85,149.3658,153.3643,left,1,0.7869,,153.365,154.3651,0,14,14,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,154.3655,154.8151,0.45,154.8157,158.8152,left,1,1.0487,,158.8162,159.8152,0,15,15,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,159.8157,161.0151,1.2,161.0157,165.0151,left,0,1.0169,,165.016,166.015,0,16,16,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,166.0155,166.8151,0.8,166.8155,170.8151,left,1,1.6252,,170.8163,171.8151,0,17,17,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-13_16h04.33.530,ant_ver113,2025.2.3,MacIntel,59.88023952,117393,117393,,,,,171.8156,173.1652,1.35,173.1658,177.1651,right,1,0.7007,,177.1661,178.1651,0,18,18,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,
