PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0001,22.2373,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,22.2375,49.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,49.75,67.9292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,67.9373,68.3875,0.45,68.3879,72.3876,left,1,0.8181,,72.3876,73.3874,0,0,0,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,73.3877,73.9374,0.55,73.9376,77.9374,right,1,0.4741,,77.9378,78.9374,0,1,1,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,78.9376,79.5875,0.65,79.5877,83.5875,left,0,0.5301,,83.5878,84.5875,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,84.5878,85.9374,1.35,85.9377,89.9375,right,1,0.445,0.0004,89.9382,90.9375,0,3,3,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,90.9377,92.0876,1.15,92.0879,96.0875,left,1,0.6567,,96.088,97.0877,0,4,4,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,97.0879,97.6876,0.6,97.6878,101.6878,left,1,0.5623,,101.6882,102.6877,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
,,2026-01-20_12h41.11.125,ant_ver113,2025.2.3,Win32,243.902439,128478,,,,,102.6877,103.7377,1.05,103.7379,107.7377,left,1,0.3668,,107.7379,108.7377,0,6,6,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
