location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation
1,0.0002,11.4401,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,11.4403,29.498,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,29.4982,58.4901,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,58.5081,59.1538,0.65,59.1547,63.1528,right,1,0.8986,,63.153,64.1527,0,0,0,13,1,stim/both.png,stim/congRight.png,-1,right,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,64.1533,65.5524,1.4,65.5529,69.5524,left,1,0.5862,,69.5531,70.5516,0,1,1,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,70.552,71.2523,0.7,71.2529,75.2523,left,1,0.4925,,75.253,76.2524,0,2,2,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,76.2529,77.8024,1.55,77.803,81.802,left,1,0.5273,,81.8026,82.802,0,3,3,15,1,stim/blank.png,stim/congLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,82.8027,84.3021,1.5,84.3027,88.3014,right,1,0.8522,,88.302,89.3023,0,4,4,7,1,stim/blank.png,stim/incongRight.png,-1,right,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,89.3027,90.2023,0.9,90.2028,94.2025,right,1,0.5156,,94.2032,95.2023,0,5,5,2,1,stim/centre.png,stim/congRight.png,1,right,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,95.2026,95.9021,0.7,95.9026,99.9026,left,1,0.5606,,99.9034,100.9022,0,6,6,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,100.9027,102.0523,1.15,102.0527,106.0515,left,1,0.4311,,106.0522,107.052,0,7,7,5,1,stim/both.png,stim/congLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,107.0525,108.2021,1.15,108.2024,112.2023,right,0,0.5074,,112.203,113.2023,0,8,8,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,113.2026,114.2023,1,114.2027,118.2022,left,1,0.6671,,118.2027,119.2023,0,9,9,1,1,stim/both.png,stim/incongLeft.png,1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,119.2027,119.6521,0.45,119.6525,123.6523,left,1,0.474,,123.653,124.6521,0,10,10,12,1,stim/lower.png,stim/congLeft.png,-1,left,0
1,,,2026-02-20_21h32.14.780,ant_ver113,2025.2.3,MacIntel,120.4819277,130406,130406,,,,,124.6524,126.0022,1.35,126.0027,130.0023,left,1,0.7255,,130.0029,131.0023,0,11,11,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0
