location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
3,0.0011,10.2973,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,10.2975,27.3809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,27.381,51.9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,51.9387,53.4324,1.5,53.4331,57.4327,left,1,0.64,,57.4329,58.4315,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,58.4321,59.3315,0.9,59.3321,63.3315,left,1,0.6215,,63.3322,64.3316,0,1,1,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,64.332,65.7321,1.4,65.7329,69.7325,right,0,0.614,,69.7334,70.7316,0,2,2,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,70.7322,71.9818,1.25,71.9826,75.9819,left,1,0.6985,,75.9826,76.9818,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,76.9821,78.2821,1.3,78.2827,82.2819,right,1,0.9329,,82.2825,83.2819,0,4,4,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,83.2823,84.1819,0.9,84.1825,88.2162,right,1,0.7722,,88.217,89.182,0,5,5,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,89.1827,90.3824,1.2,90.3831,94.3899,left,1,0.8009,,94.3906,95.3824,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,95.3829,95.9821,0.6,95.983,99.9832,left,1,0.4899,,99.9841,100.9829,0,7,7,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,100.9834,101.6323,0.65,101.6333,105.6325,left,0,0.4758,,105.6332,106.6325,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,106.6331,107.783,1.15,107.7837,111.7827,right,1,0.4653,,111.7837,112.783,0,9,9,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,112.7836,113.7326,0.95,113.7334,117.7334,left,1,0.4521,,117.7342,118.733,0,10,10,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,118.7334,119.2827,0.55,119.2835,123.2836,right,1,0.6516,,123.2847,124.2827,0,11,11,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,124.2832,125.6835,1.4,125.6842,129.6829,left,1,0.6038,,129.6839,130.6831,0,12,12,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,130.6835,131.7831,1.1,131.7838,135.783,left,1,0.4735,,135.7841,136.7838,0,13,13,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,136.7843,137.3831,0.6,137.3842,141.3834,left,1,0.7007,,141.3844,142.3835,0,14,14,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,142.384,142.9333,0.55,142.9341,146.9332,left,1,0.5685,,146.9341,147.9338,0,15,15,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,147.9344,148.3332,0.4,148.3338,152.3334,right,1,0.9506,,152.3343,153.3344,0,16,16,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,153.3351,154.5334,1.2,154.5343,158.5337,right,1,0.6288,,158.535,159.5338,0,17,17,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,159.5342,160.3343,0.8,160.335,164.3341,left,1,0.5878,,164.3353,165.3338,0,18,18,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,165.3344,166.6837,1.35,166.6844,170.6838,left,1,0.451,,170.6846,171.6838,0,19,19,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,171.6842,173.1343,1.45,173.1349,177.1347,right,1,0.5053,,177.1357,178.1343,0,20,20,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,178.1348,179.1842,1.05,179.185,183.1845,left,1,0.6127,,183.1854,184.184,0,21,21,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,184.1847,185.3846,1.2,185.3851,189.3842,right,1,0.5403,,189.385,190.3842,0,22,22,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,190.3848,191.7847,1.4,191.7853,195.7842,left,1,0.4979,,195.7852,196.7842,0,23,23,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,,,,,,,,,,,,,,,,,,,,,,196.7847,208.4848,space,1.6622,,,,,,,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,208.497,209.9348,1.45,209.9356,213.9349,left,1,0.5462,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,0,0,10,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,213.9356,214.7351,0.8,214.7359,218.7348,right,1,0.6055,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,0,1,1,3,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,218.7352,219.2849,0.55,219.2853,223.2847,right,1,0.4748,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,2,2,43,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,223.285,223.9849,0.7,223.9853,227.985,left,1,0.4974,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,3,3,32,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,227.9853,229.4848,1.5,229.4852,233.4851,right,1,0.5968,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,4,4,25,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,233.4853,234.2351,0.75,234.2355,238.235,right,1,0.5675,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,5,5,11,1,,,,,,,
3,,,2026-02-15_20h04.38.214,ant_ver113,2025.2.3,Win32,59.88023952,4753,4753,,,,,238.2353,239.4852,1.25,239.4856,243.4853,left,1,0.4545,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,6,6,14,1,,,,,,,
