location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,148.2804,148.9804,0.7,148.9818,152.9816,left,1,1.1018,,152.9827,153.9815,0,17,17,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,153.9822,155.0321,1.05,155.0329,159.0332,right,0,1.0846,,159.0342,160.0339,0,18,18,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,160.0343,160.934,0.9,160.9348,164.9412,left,1,0.7676,,164.9423,165.9358,0,19,19,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,165.9368,166.627,0.7,166.6277,170.62,left,0,0.9688,,170.6217,171.6198,0,20,20,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,171.6208,172.4702,0.85,172.4708,176.4628,left,0,1.1341,,176.4629,177.4726,0,21,21,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,177.473,178.7719,1.3,178.773,182.773,left,0,0.9339,,182.7732,183.7731,0,22,22,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,183.7738,184.3735,0.6,184.3742,188.3746,right,0,0.8909,,188.3747,189.3751,0,23,23,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,,,,,,,,,,,,,,,,,,,,,,189.3761,206.5464,space,7.1423,,,,,,,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,206.56,207.913,1.35,207.9139,211.9144,left,0,0.9267,,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,,,,,,0,0,0,40,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,211.9151,212.7042,0.8,212.7048,216.6991,,0,,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,1,1,31,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,216.6998,218.2491,1.55,218.2498,222.2502,left,0,0.8361,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,2,2,19,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,222.2507,222.9004,0.65,222.9011,226.9021,left,0,0.7557,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,0,3,3,25,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,226.9027,227.5092,0.6,227.5102,231.5027,left,1,0.6496,,,,,,,,,stim/both.png,stim/congLeft.png,1,left,0,,,,,,0,4,4,34,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,231.5033,232.5118,1,232.5133,236.5125,left,1,1.5333,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,5,5,32,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,236.5131,238.0045,1.5,238.0058,242.0054,right,1,0.6673,,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,,,,,,0,6,6,2,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,242.0061,243.4063,1.4,243.4075,247.4072,right,1,0.8337,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,7,7,29,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,247.4078,248.8576,1.45,248.8583,252.8587,left,0,0.8172,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,0,8,8,44,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,252.8591,253.4585,0.6,253.4591,257.4598,left,1,0.6197,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,9,9,24,1,,,,,,,
1,,,2026-02-27_20h23.28.276,ant_ver113,2025.2.3,Win32,59.88023952,114695,114695,,,,,257.4604,258.9598,1.5,258.9604,,,,,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,0,10,10,27,1,0,0,0,0,1,2,95
