location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0002,12.6743,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,12.6745,30.5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,30.5245,49.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,49.1967,49.7403,0.55,49.7415,53.7404,,0,53.7407,54.7404,0,0,0,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,54.7413,55.14,0.4,55.1409,59.1394,,0,59.1396,60.14,0,1,1,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,60.1408,61.439,1.3,61.4399,65.44,right,1,65.4412,66.4401,0,2,2,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,1.0713,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,66.4407,66.9899,0.55,66.9908,70.9899,,0,70.9909,71.9898,0,3,3,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,71.9904,73.19,1.2,73.1909,77.19,right,1,77.191,78.1899,0,4,4,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.054,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,78.1903,78.7402,0.55,78.741,82.74,,0,82.7409,83.7399,0,5,5,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,83.7402,84.24,0.5,84.2407,88.2388,left,1,88.2399,89.2397,0,6,6,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,0.9364,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,89.2401,90.2398,1,90.2407,94.2397,left,1,94.2407,95.2399,0,7,7,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,1.4151,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,95.2404,96.2397,1,96.2405,100.2397,right,1,100.2407,101.2398,0,8,8,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.9311,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,101.2404,102.3397,1.1,102.3405,106.3391,left,1,106.34,107.3389,0,9,9,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.7502,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,107.3392,108.3896,1.05,108.3906,112.3896,left,1,112.3905,113.3886,0,10,10,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.7883,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,113.3891,114.4885,1.1,114.4893,118.4886,left,1,118.4896,119.4885,0,11,11,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.748,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,119.489,120.7395,1.25,120.7403,124.7396,right,1,124.7404,125.7387,0,12,12,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.4975,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,125.7392,127.239,1.5,127.2397,131.2384,left,1,131.2395,132.2395,0,13,13,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.6673,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,132.24,133.7384,1.5,133.7396,137.7395,left,1,137.7404,138.7395,0,14,14,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.7689,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,138.74,139.9395,1.2,139.9401,143.9393,left,1,143.9402,144.9393,0,15,15,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.7367,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,144.9398,145.3394,0.4,145.3402,149.3394,left,1,149.3405,150.3383,0,16,16,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,1.2549,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,150.3388,150.9384,0.6,150.9389,154.9384,left,1,154.9393,155.9383,0,17,17,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.5819,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,155.9388,157.1892,1.25,157.19,161.1892,left,1,161.1903,162.1893,0,18,18,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.4485,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,162.1898,162.8392,0.65,162.84,166.8393,right,1,166.8401,167.8392,0,19,19,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.4238,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,167.8397,168.9392,1.1,168.9402,172.9391,left,0,172.94,173.9393,0,20,20,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.4086,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,173.9398,174.7385,0.8,174.7394,178.7381,left,1,178.7391,179.7391,0,21,21,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.5153,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,179.7397,180.9891,1.25,180.9899,184.9881,left,1,184.989,185.9891,0,22,22,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.4826,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,185.9898,186.5381,0.55,186.5388,190.5391,right,1,190.5399,191.5389,0,23,23,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.4483,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,,,,,,,,,,,,,,,,,,,,,,191.5395,202.2394,space,0.6665,,,,,,,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,202.2518,203.2391,1,203.2399,207.2389,left,0,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,0.4001,,,,,,,0,0,0,19,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,207.2397,207.939,0.7,207.9395,211.9378,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.4806,,,,,,,0,1,1,12,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,211.9384,213.4378,1.5,213.4385,217.4378,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.4557,,,,,,,0,2,2,9,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,217.4383,218.5387,1.1,218.5396,222.5378,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,0.6796,,,,,,,0,3,3,21,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,222.5383,222.9378,0.4,222.9387,226.9387,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,0.4676,,,,,,,0,4,4,23,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,226.9392,228.4387,1.5,228.4395,232.4388,right,1,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,0.4983,,,,,,,0,5,5,2,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,232.4393,233.5386,1.1,233.5394,237.5386,left,1,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,0.5186,,,,,,,0,6,6,33,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,237.5392,238.5386,1,238.5393,242.5376,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.4324,,,,,,,0,7,7,39,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,242.5382,243.2385,0.7,243.2393,247.2385,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,0.4173,,,,,,,0,8,8,41,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,247.2391,247.9885,0.75,247.9894,251.9886,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,0.5163,,,,,,,0,9,9,46,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,251.9892,253.4886,1.5,253.4894,257.4886,left,1,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,0.5176,,,,,,,0,10,10,20,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,257.4893,258.5376,1.05,258.5384,262.5375,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.4704,,,,,,,0,11,11,0,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,262.538,262.9376,0.4,262.9382,266.9374,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,0.5151,,,,,,,0,12,12,31,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,266.9379,268.3885,1.45,268.3891,272.3885,right,1,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.5299,,,,,,,0,13,13,3,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,272.389,273.5874,1.2,273.5879,277.5883,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.4368,,,,,,,0,14,14,15,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,277.5887,278.8885,1.3,278.8893,282.8873,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.4922,,,,,,,0,15,15,14,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,282.8878,283.7883,0.9,283.7891,287.7883,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.4826,,,,,,,0,16,16,5,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,287.7889,288.2883,0.5,288.289,292.2883,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,-1,left,0,0.5189,,,,,,,0,17,17,37,1,,,,,,,,,
1,,,2026-03-10_17h11.57.437,ant_ver113,2025.2.3,MacIntel,60.24096386,126544,126544,,,,,292.289,293.1382,0.85,293.139,297.1373,left,1,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,0.5323,,,,,,,0,18,18,42,1,,,,,,,,,
