location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order
1,0.0002,17.1547,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,17.1547,59.5723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,59.5725,82.3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,82.3823,82.7731,0.4,82.7747,86.7734,left,1,0.6108,,86.7739,87.7734,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,87.7746,88.9231,1.15,88.9242,92.9231,right,0,0.287,,92.9245,93.9231,0,1,1,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,93.9239,94.872,0.95,94.8729,98.8723,left,1,0.4237,,98.8733,99.8732,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,99.874,100.7232,0.85,100.7243,104.7233,left,0,0.7335,,104.7245,105.7234,0,3,3,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,105.724,106.3734,0.65,106.3743,110.3735,right,1,0.9179,,110.3749,111.3724,0,4,4,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,111.373,111.8736,0.5,111.8744,115.8729,right,1,0.057,,115.8743,116.8736,0,5,5,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,116.8742,117.4236,0.55,117.4246,121.4237,right,0,0.4801,,121.4249,122.4239,0,6,6,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,122.4246,122.874,0.45,122.8749,126.8739,right,1,0.6736,,126.8753,127.8738,0,7,7,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,127.8744,128.8239,0.95,128.8247,132.8239,left,1,0.8894,,132.8252,133.8239,0,8,8,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
1,,,2026-03-02_16h31.07.381,ant_ver113,2025.2.3,MacIntel,59.88023952,130398,130398,,,,,133.8246,134.3235,0.5,134.3236,138.3237,left,1,0.7836,,138.3244,139.3231,0,9,9,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,
