location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,pracLoop.order
1,0.0003,11.1352,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,11.1353,62.917,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,62.9171,161.4373,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,161.4566,162.7085,1.25,162.7097,166.7092,,0,166.7094,167.7098,0,0,0,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,167.7104,169.2546,1.55,169.2557,173.2527,left,1,173.2553,174.2511,0,1,1,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.9118,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,174.2516,174.901,0.65,174.902,178.8995,right,1,178.9002,179.8993,0,2,2,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.505,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,179.8998,180.8003,0.9,180.8015,184.7997,left,0,184.8009,185.7995,0,3,3,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.1631,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,185.7998,186.8487,1.05,186.8496,190.8499,right,1,190.8513,191.8489,0,4,4,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.9709,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,191.8493,193.3482,1.5,193.3488,197.3499,right,0,197.3514,198.3491,0,5,5,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.8144,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,198.3495,199.3498,1,199.351,203.3497,left,1,203.3512,204.3492,0,6,6,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.9928,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,204.3496,204.7995,0.45,204.8004,208.7986,right,0,208.7996,209.7988,0,7,7,1,1,stim/both.png,stim/incongLeft.png,1,left,0,1.1049,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,209.7996,210.6487,0.85,210.6492,214.649,left,1,214.6496,215.6493,0,8,8,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.7551,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,215.6501,216.0485,0.4,216.0501,220.0495,left,1,220.0511,221.0484,0,9,9,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5842,,
1,,,2026-02-05_10h49.09.328,ant_ver113,2025.2.3,MacIntel,121.9512195,126039,126039,,,,,221.0489,222.0483,1,222.0496,226.0495,right,0,226.0506,227.0587,0,10,10,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.9634,,
