location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped
2,0,12.232,2026-02-19_14h38.25.141,ant_ver113,2025.2.3,MacIntel,58.82352941,11840,11840,,
2,,,2026-02-19_14h38.25.141,ant_ver113,2025.2.3,MacIntel,58.82352941,11840,11840,12.233,26.232
