location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,0.0006,14.0296,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,14.0313,32.1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,32.1156,47.6013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,47.6408,48.5335,0.9,48.5349,52.5345,,0,52.5349,53.5343,0,0,0,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,53.5354,55.0843,1.55,55.0851,59.0849,right,1,59.0871,60.0854,0,1,1,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,0.9216,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,60.086,61.4353,1.35,61.4373,65.4356,left,1,65.4375,66.436,0,2,2,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,1.3236,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,66.437,67.2857,0.85,67.2869,71.2865,left,1,71.2882,72.2862,0,3,3,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.7018,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,72.287,73.6365,1.35,73.6378,77.6374,left,1,77.6386,78.6372,0,4,4,5,1,stim/both.png,stim/congLeft.png,-1,left,0,1.3334,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,78.6378,79.487,0.85,79.4888,83.4876,left,1,83.489,84.4883,0,5,5,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.8917,,,,,,,,,,,,,,,,,,
1,,,2026-03-03_10h58.18.931,ant_ver113,2025.2.3,Win32,60.97560976,127977,127977,,,,,84.4892,85.6884,1.2,85.6891,89.6884,left,1,89.6903,90.6887,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.951,,,,,,,,,,,,,,,,,,
