location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started
1,0.0008,157386.2366,2026-02-24_14h58.03.464,ant_ver113,2025.2.3,Win32,20,128296,128296,
1,,,2026-02-24_14h58.03.464,ant_ver113,2025.2.3,Win32,20,128296,128296,157386.2372
