location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0005,12.2931,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,12.2933,60.9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,60.9608,122.1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,122.1871,123.4267,1.25,123.4279,127.4277,right,1,1.369,,127.428,128.4276,0,0,0,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,128.4282,129.8765,1.45,129.877,133.8775,left,1,0.4825,,133.8783,134.8775,0,1,1,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,134.8779,135.9775,1.1,135.9781,139.9775,right,0,0.9856,,139.9782,140.9776,0,2,2,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,140.978,141.9766,1,141.9772,145.9772,right,1,0.735,,145.978,146.9776,0,3,3,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,146.978,147.5777,0.6,147.5783,151.5776,left,1,0.5857,,151.5784,152.5776,0,4,4,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,152.5779,153.1776,0.6,153.1782,157.1777,left,1,0.8335,,157.1784,158.1777,0,5,5,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,158.1781,158.6277,0.45,158.6283,162.6275,right,1,0.4666,,162.6283,163.6268,0,6,6,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,163.6273,164.1278,0.5,164.1284,168.1267,left,0,0.4532,,168.1273,169.1277,0,7,7,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,169.1282,169.6768,0.55,169.6773,173.6775,right,1,0.4828,,173.6781,174.6775,0,8,8,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,174.6779,175.9778,1.3,175.9785,179.9779,left,1,0.4393,,179.9786,180.9779,0,9,9,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,180.9784,182.0278,1.05,182.0285,186.0279,right,1,0.4556,,186.0286,187.0279,0,10,10,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,187.0283,188.327,1.3,188.3275,192.3268,left,1,0.5717,,192.3273,193.328,0,11,11,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,193.3285,194.428,1.1,194.4286,198.4269,left,1,0.7649,,198.4275,199.428,0,12,12,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,199.4283,200.6279,1.2,200.6286,204.628,left,1,0.5484,,204.6287,205.628,0,13,13,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,205.6284,206.6775,1.05,206.678,210.6781,left,1,0.5197,,210.6787,211.6781,0,14,14,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,211.6785,212.3782,0.7,212.3786,216.3781,left,1,0.5057,,216.3788,217.378,0,15,15,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,217.3784,218.7281,1.35,218.7287,222.7282,left,1,0.6658,,222.7288,223.7281,0,16,16,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,223.7285,224.5281,0.8,224.5286,228.5272,right,1,0.518,,228.5282,229.5283,0,17,17,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,229.5287,230.6782,1.15,230.6787,234.6783,left,1,0.6326,,234.6789,235.6782,0,18,18,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,235.6787,236.1283,0.45,236.1288,240.1282,left,1,1.0839,,240.129,241.1283,0,19,19,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,241.1287,242.0783,0.95,242.0788,246.0784,left,1,0.635,,246.079,247.0783,0,20,20,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,247.0787,247.6283,0.55,247.6289,251.6276,left,1,0.7326,,251.6283,252.6284,0,21,21,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,252.6287,253.8284,1.2,253.8288,257.8283,right,1,0.5657,,257.8292,258.8284,0,22,22,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,258.8289,260.2284,1.4,260.2289,264.2285,right,1,1.3658,,264.2292,265.2285,0,23,23,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,,,,,,,,,,,,,,,,,,,,,,265.2291,280.6458,space,5.3846,,,,,,,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,280.6589,281.362,0.7,281.3627,285.362,right,1,0.651,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,0,0,35,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,285.3625,285.9119,0.55,285.9125,289.912,left,1,0.6712,,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,0,1,1,21,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,289.9124,290.4618,0.55,290.4624,294.4621,left,1,0.5401,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,2,2,38,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,294.4627,295.112,0.65,295.1126,299.1121,right,1,0.5158,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,3,3,13,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,299.1125,300.062,0.95,300.0626,304.0621,right,1,0.7324,,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,,,,,,0,4,4,39,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,304.0625,305.6121,1.55,305.6127,309.6121,right,1,0.4214,,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,,,,,,0,5,5,30,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,309.6126,310.8121,1.2,310.8127,314.8122,right,1,0.7508,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,6,6,18,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,314.8126,316.2123,1.4,316.2128,320.2121,right,1,0.7492,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,7,7,7,1,,,,,,,,,
1,,,2026-03-12_20h03.08.377,ant_ver113,2025.2.3,MacIntel,59.88023952,129446,129446,,,,,320.2126,321.6622,1.45,321.6628,325.6622,right,1,0.4611,,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,,,,,,0,8,8,28,1,,,,,,,,,
