PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.001,30.064,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,30.065,41.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,41.48,59.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,59.154,59.997,0.85,59.998,63.997,,0,63.998,64.997,0,0,0,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,64.998,65.647,0.65,65.648,69.647,,0,69.647,70.646,0,1,1,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,70.647,71.497,0.85,71.497,75.497,,0,75.497,76.496,0,2,2,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,76.497,77.147,0.65,77.147,81.147,,0,81.147,82.147,0,3,3,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,82.147,83.446,1.3,83.447,87.447,,0,87.447,88.447,0,4,4,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,88.447,88.996,0.55,88.996,92.997,,0,92.997,93.997,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,93.997,94.646,0.65,94.647,98.646,,0,98.647,99.647,0,6,6,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,99.647,100.397,0.75,100.397,104.397,right,0,104.397,105.397,0,7,7,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.255,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_15h58.20.916,ant_ver113,2025.2.3,MacIntel,58.82352941,128311,,,,,105.397,106.897,1.5,106.897,110.897,left,1,110.897,111.897,0,8,8,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,1.591,,,,,,,,,,,,,,,,,,,,
