PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0002,12.7857,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,12.7859,29.5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,29.5524,43.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,43.491,44.2357,0.75,44.237,48.2357,,0,48.2361,49.2355,0,0,0,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,49.2364,49.8853,0.65,49.886,53.8853,right,1,53.8863,54.8852,0,1,1,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.9003,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,54.8857,56.0853,1.2,56.086,60.0852,left,1,60.086,61.0852,0,2,2,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.9502,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,61.0857,62.6353,1.55,62.6361,66.6349,left,1,66.6356,67.6353,0,3,3,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.6505,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,67.6358,68.8851,1.25,68.886,72.885,right,1,72.8859,73.8852,0,4,4,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.9182,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,73.8857,74.5351,0.65,74.5358,78.5344,left,0,78.5353,79.5351,0,5,5,23,1,stim/both.png,stim/neutralRight.png,1,right,0,1.132,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,79.5356,80.8851,1.35,80.8859,84.8842,right,1,84.8851,85.885,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.549,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,85.8854,86.4341,0.55,86.4348,90.4351,left,1,90.4361,91.4351,0,7,7,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.748,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_13h43.30.902,ant_ver113,2025.2.3,MacIntel,59.88023952,122105,,,,,91.4356,92.8851,1.45,92.8858,96.8851,left,1,96.8867,97.885,0,8,8,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.9685,,,,,,,,,,,,,,,,,,,,
