location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation
1,0.001,12.476,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,12.477,28.243,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,28.243,43.142,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,43.164,43.816,0.65,43.818,47.815,right,1,0.732,,47.817,48.816,0,0,0,18,1,stim/blank.png,stim/congRight.png,-1,right,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,48.817,50.065,1.25,50.066,54.065,right,1,0.764,,54.066,55.065,0,1,1,23,1,stim/both.png,stim/neutralRight.png,1,right,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,55.066,56.014,0.95,56.015,60.014,left,1,0.783,,60.016,61.014,0,2,2,6,1,stim/blank.png,stim/congLeft.png,1,left,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,61.015,62.314,1.3,62.315,66.315,right,0,0.614,,66.316,67.314,0,3,3,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,67.315,67.814,0.5,67.815,71.814,right,1,1.214,,71.815,72.814,0,4,4,11,1,stim/upper.png,stim/incongRight.png,1,right,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,72.814,74.264,1.45,74.265,78.264,left,1,1.081,,78.265,79.264,0,5,5,15,1,stim/blank.png,stim/congLeft.png,-1,left,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,79.264,80.264,1,80.264,84.264,left,1,1.034,,84.265,85.263,0,6,6,5,1,stim/both.png,stim/congLeft.png,-1,left,0
1,,,2026-03-07_16h35.24.409,ant_ver113,2025.2.3,MacIntel,50,129574,129574,,,,,85.264,85.763,0.5,85.764,89.763,left,1,0.515,,89.765,90.763,0,7,7,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0
