PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,147.4621,148.5624,1.1,148.5632,152.5624,left,1,152.5635,153.5624,0,17,17,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.5311,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,153.563,154.0624,0.5,154.0633,158.0615,right,0,158.0621,159.0625,0,18,18,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.4695,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,159.0632,160.2125,1.15,160.2133,164.2126,left,1,164.2138,165.2123,0,19,19,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.4822,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,165.2128,166.0122,0.8,166.013,170.0122,right,1,170.0122,171.0124,0,20,20,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.4816,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,171.013,172.2114,1.2,172.2123,176.2125,right,1,176.2136,177.2125,0,21,21,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.5324,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,177.2131,178.4124,1.2,178.4133,182.4124,left,0,182.4135,183.4125,0,22,22,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.4316,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,183.4134,184.6118,1.2,184.6125,188.6125,left,1,188.6135,189.6115,0,23,23,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.5656,,,,,,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,,,,,,,,,,,,,,,,,,,,,,189.6119,199.8288,space,0.1885,,,,,,,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,199.8425,200.8458,1,200.8467,204.8458,left,1,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,0.4021,,,,,,,0,0,0,38,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,204.8467,205.8949,1.05,205.8955,209.8952,left,0,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,0.5141,,,,,,,0,1,1,44,1,,,,,,,,,
