location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.001,11.917,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,11.917,38.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,38.204,82.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,82.532,83.383,0.85,83.383,87.38,right,1,0.815,,87.381,88.38,0,0,0,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,88.381,89.879,1.5,89.88,93.879,right,1,1.168,,93.88,94.879,0,1,1,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,94.88,96.279,1.4,96.28,100.279,left,1,0.686,,100.28,101.279,0,2,2,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,101.279,101.913,0.65,101.914,105.913,left,1,0.698,,105.914,106.913,0,3,3,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,106.913,107.845,0.95,107.846,111.846,left,1,0.572,,111.847,112.846,0,4,4,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,112.847,113.946,1.1,113.946,117.946,left,1,0.493,,117.947,118.946,0,5,5,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,118.946,120.346,1.4,120.347,124.346,left,1,0.403,,124.347,125.346,0,6,6,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,125.346,125.745,0.4,125.746,129.746,,0,,,129.747,130.746,0,7,7,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,130.746,131.846,1.1,131.847,135.846,right,1,0.698,,135.847,136.846,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,136.846,137.346,0.5,137.347,141.346,left,1,0.88,,141.346,142.346,0,9,9,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,142.346,143.779,1.45,143.779,147.779,right,1,0.726,,147.78,148.779,0,10,10,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,148.779,149.212,0.45,149.213,153.212,right,1,0.762,,153.213,154.212,0,11,11,0,1,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,154.213,155.512,1.3,155.513,159.513,right,1,0.62,,159.514,160.512,0,12,12,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-03-10_15h25.02.667,ant_ver113,2025.2.3,MacIntel,30.3030303,123476,123476,,,,,160.513,161.412,0.9,161.413,165.412,left,1,0.517,,165.413,166.412,0,13,13,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
