location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
1,0.0002,10.0944,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,10.095,29.3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,29.3275,41.2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,41.2837,42.3268,1.05,42.3286,46.3272,,0,46.3275,47.3268,0,0,0,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,47.3279,48.4267,1.1,48.4278,52.4267,left,1,52.4281,53.4266,0,1,1,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.8018,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,53.4274,54.9256,1.5,54.9265,58.9266,left,1,58.928,59.9254,0,2,2,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.9141,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,59.9261,60.926,1,60.9271,64.9264,left,1,64.9277,65.9266,0,3,3,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.6306,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,65.9273,67.3755,1.45,67.3766,71.3765,right,1,71.3778,72.3766,0,4,4,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.4654,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,72.3772,73.4765,1.1,73.4774,77.4755,left,1,77.4766,78.4755,0,5,5,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.5686,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,78.4761,79.7764,1.3,79.7774,83.7764,left,1,83.7777,84.7764,0,6,6,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5006,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,84.777,85.5265,0.75,85.5273,89.5263,left,1,89.5275,90.5248,0,7,7,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.504,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,90.5249,92.0751,1.55,92.0758,96.0762,left,0,96.0773,97.0762,0,8,8,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.0323,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,97.077,98.3751,1.3,98.3759,102.3761,left,1,102.3773,103.3762,0,9,9,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.5985,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,103.3769,104.7251,1.35,104.7258,108.7251,left,1,108.7261,109.7261,0,10,10,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.5503,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,109.7267,110.176,0.45,110.1769,114.1751,right,1,114.1761,115.1761,0,11,11,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.547,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,115.1766,116.576,1.4,116.5769,120.575,left,1,120.5761,121.5757,0,12,12,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.4692,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,121.5762,122.525,0.95,122.5259,126.5249,left,1,126.5258,127.5259,0,13,13,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.5422,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,127.5265,128.5251,1,128.5259,132.5248,right,1,132.5257,133.5249,0,14,14,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.5815,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,133.5255,135.0757,1.55,135.0767,139.0758,right,1,139.077,140.0758,0,15,15,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.6726,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,140.0764,140.4758,0.4,140.4768,144.4758,right,1,144.4769,145.4758,0,16,16,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,0.5182,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,145.4764,146.0258,0.55,146.0266,150.0257,left,1,150.0269,151.0257,0,17,17,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.8184,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,151.0263,152.1257,1.1,152.1267,156.1257,right,1,156.1267,157.1257,0,18,18,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.6328,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,157.1263,158.1256,1,158.1266,162.1246,left,1,162.1257,163.1256,0,19,19,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.6987,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,163.1263,164.0747,0.95,164.0757,168.0746,right,1,168.0756,169.0755,0,20,20,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.5654,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,169.0761,169.7746,0.7,169.7753,173.7755,right,1,173.7766,174.7755,0,21,21,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.5157,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,174.7761,175.8755,1.1,175.8764,179.8756,left,1,179.8757,180.8754,0,22,22,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,0.5155,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,180.8761,182.4245,1.55,182.4255,186.4255,left,1,186.4266,187.4255,0,23,23,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.5315,,,,,,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,,,,,,,,,,,,,,,,,,,,,,187.4263,198.7259,space,1.2668,,,,,,,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,198.7397,199.7911,1.05,199.7917,203.792,left,1,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,0.9313,,,,,,,0,0,0,33,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,203.7928,204.4913,0.7,204.4922,208.4919,left,0,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,0.5252,,,,,,,0,1,1,7,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,208.4924,208.9414,0.45,208.9421,212.942,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.5183,,,,,,,0,2,2,5,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,212.9427,213.8918,0.95,213.8928,217.8918,left,1,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,0.4627,,,,,,,0,3,3,12,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,217.8925,218.341,0.45,218.3419,222.3418,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.4153,,,,,,,0,4,4,28,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,222.3425,223.7919,1.45,223.7927,227.791,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,0.5654,,,,,,,0,5,5,6,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,227.7916,228.2919,0.5,228.2927,232.2917,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.581,,,,,,,0,6,6,45,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,232.2925,233.3418,1.05,233.3426,237.3408,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.4853,,,,,,,0,7,7,17,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,237.3415,238.3909,1.05,238.3916,242.3907,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.5156,,,,,,,0,8,8,9,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,242.3914,243.3408,0.95,243.3417,247.3419,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.4677,,,,,,,0,9,9,14,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,247.3426,248.7916,1.45,248.7925,252.7917,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.5194,,,,,,,0,10,10,15,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,252.7924,253.6416,0.85,253.6424,257.6407,right,1,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.531,,,,,,,0,11,11,3,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,257.6412,258.4406,0.8,258.4414,262.4406,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,0.4677,,,,,,,0,12,12,30,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,262.4413,262.9414,0.5,262.9424,266.9406,right,1,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,0.7364,,,,,,,0,13,13,26,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,266.9411,268.2412,1.3,268.2418,272.2406,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.615,,,,,,,0,14,14,0,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,272.2413,273.3413,1.1,273.3423,277.3415,left,1,,,,,,,,stim/upper.png,stim/neutralLeft.png,1,left,0,0.4288,,,,,,,0,15,15,8,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,277.3423,277.7413,0.4,277.7424,281.7405,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,0.5328,,,,,,,0,16,16,29,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,281.7412,283.2907,1.55,283.2917,287.2913,left,1,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,0.3832,,,,,,,0,17,17,38,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,287.292,287.9414,0.65,287.9423,291.9413,left,1,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,0.5987,,,,,,,0,18,18,10,1,,,,,,,,,
1,,,2026-03-13_13h50.09.817,ant_ver113,2025.2.3,MacIntel,59.88023952,130318,130318,,,,,291.942,292.7413,0.8,292.7421,296.7413,right,1,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,0.4098,,,,,,,0,19,19,2,1,,,,,,,,,
