location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
1,0.0001,15.4492,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,15.4494,28.4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,28.4993,47.6983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,47.7189,48.5163,0.8,48.5177,52.5157,,0,52.516,53.5164,0,0,0,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,53.5174,54.3651,0.85,54.366,58.366,,0,58.3663,59.3658,0,1,1,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,59.3666,59.8162,0.45,59.8172,63.8163,,0,63.8164,64.8163,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,64.817,66.066,1.25,66.0664,70.0663,,0,70.0664,71.0663,0,3,3,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,71.067,72.2653,1.2,72.266,76.2664,right,1,76.2677,77.2664,0,4,4,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.0501,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,77.267,78.5164,1.25,78.517,82.5153,right,0,82.516,83.5155,0,5,5,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.0021,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,83.5161,84.1663,0.65,84.167,88.1665,left,1,88.1677,89.1652,0,6,6,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.4042,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,89.1655,90.5665,1.4,90.5672,94.5656,right,0,94.5664,95.5666,0,7,7,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.2719,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,95.5672,96.6155,1.05,96.6162,100.6166,right,0,100.6167,101.6166,0,8,8,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.1824,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,101.6172,102.0154,0.4,102.0159,106.0155,left,0,106.0157,107.0166,0,9,9,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.3173,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,107.0172,107.8663,0.85,107.8667,111.8657,right,0,111.8658,112.8663,0,10,10,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.1352,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,112.867,114.2666,1.4,114.2674,118.2668,right,0,118.2668,119.2667,0,11,11,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,1.198,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,119.2673,120.4667,1.2,120.4672,124.4658,right,1,124.4668,125.4658,0,12,12,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.4754,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,125.4663,126.0669,0.6,126.0678,130.0658,,0,130.0668,131.0659,0,13,13,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,131.0663,132.6158,1.55,132.6166,136.6165,,0,136.6165,137.6165,0,14,14,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,137.617,138.3167,0.7,138.3172,142.3171,,0,142.3172,143.317,0,15,15,2,1,stim/centre.png,stim/congRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,143.3176,144.417,1.1,144.4177,148.4164,,0,148.4164,149.4169,0,16,16,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,149.4175,150.3657,0.95,150.3662,154.3661,right,0,154.3661,155.3672,0,17,17,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,1.5746,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,155.3678,155.8162,0.45,155.8177,159.8169,,0,159.817,160.8172,0,18,18,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,160.8178,161.3171,0.5,161.3179,165.3169,,0,165.3169,166.3162,0,19,19,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,166.3169,167.5172,1.2,167.5181,171.5171,,0,171.5171,172.5162,0,20,20,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,172.5168,173.467,0.95,173.4675,177.4673,,0,177.4673,178.4661,0,21,21,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,178.4664,179.1173,0.65,179.118,183.1167,,0,183.1168,184.1173,0,22,22,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,184.1179,185.1672,1.05,185.1678,189.1664,,0,189.1665,190.1674,0,23,23,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
1,,,2026-02-11_12h17.09.974,ant_ver113,2025.2.3,MacIntel,60.24096386,121438,121438,,,,,,,,,,,,,,,,,,,,,,,,,,190.1682,203.2176,space,3.015,,,,,,,,,,,,,
