location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration
1,0,28.715,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,28.715,52.377,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,52.377,90.91,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,90.933,91.527,0.6,91.528,95.527,,0,95.528,96.527,0,0,0,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,96.528,97.327,0.8,97.327,101.327,left,1,101.328,102.327,0,1,1,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,1.06,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,102.327,103.277,0.95,103.277,107.277,right,0,107.277,108.276,0,2,2,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,1.333,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,108.277,109.526,1.25,109.527,113.526,left,1,113.527,114.526,0,3,3,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,1.016,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,114.527,115.276,0.75,115.277,119.276,right,1,119.277,120.276,0,4,4,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.665,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,120.277,121.826,1.55,121.827,125.826,right,0,125.827,126.826,0,5,5,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,1.204,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,126.827,128.126,1.3,128.127,132.126,right,0,132.126,133.126,0,6,6,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,1.492,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,133.127,134.476,1.35,134.477,138.476,left,0,138.477,139.476,0,7,7,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,1.025,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,139.477,140.226,0.75,140.227,144.226,,0,144.226,145.226,0,8,8,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,145.227,146.276,1.05,146.277,150.276,right,0,150.276,151.276,0,9,9,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,1.038,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,151.277,151.826,0.55,151.827,155.826,right,1,155.827,156.826,0,10,10,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.906,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,156.827,158.175,1.35,158.176,162.176,right,0,162.178,163.176,0,11,11,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,1.509,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,163.177,164.276,1.1,164.277,168.276,right,0,168.276,169.276,0,12,12,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.95,
1,,,2026-02-04_22h20.20.691,ant_ver113,2025.2.3,MacIntel,58.82352941,130290,130290,,,,,169.277,170.226,0.95,170.227,176.918,,0,176.919,176.919,0,13,13,6,1,stim/blank.png,stim/congLeft.png,1,left,0,,
