PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
0.0007,37.1434,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,37.1439,55.3787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,55.3794,97.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,97.8778,98.379,0.5,98.3827,102.3799,,0,102.3804,103.3806,0,0,0,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,103.3828,104.5133,1.15,104.5163,108.5121,right,1,108.516,109.513,0,1,1,23,1,stim/both.png,stim/neutralRight.png,1,right,0,0.5443,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,109.5137,110.047,0.55,110.0493,114.0467,left,1,114.0504,115.0463,0,2,2,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.401,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,115.0488,116.3453,1.3,116.3466,120.3467,right,0,120.3481,121.3473,0,3,3,16,1,stim/blank.png,stim/incongLeft.png,-1,left,0,0.4501,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,121.3491,122.6802,1.35,122.6831,126.6802,left,1,126.6836,127.6802,0,4,4,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.4481,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,127.6809,128.2799,0.6,128.2812,132.2813,left,1,132.2836,133.2812,0,5,5,5,1,stim/both.png,stim/congLeft.png,-1,left,0,0.533,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,133.2826,134.0816,0.8,134.0829,138.08,left,1,138.0818,139.085,0,6,6,4,1,stim/centre.png,stim/congLeft.png,1,left,0,0.5955,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,139.0861,140.5144,1.45,140.5173,144.5141,right,1,144.5164,145.5149,0,7,7,13,1,stim/both.png,stim/congRight.png,-1,right,0,0.5352,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,145.5165,146.5472,1.05,146.5495,150.5472,left,1,150.5507,151.5474,0,8,8,6,1,stim/blank.png,stim/congLeft.png,1,left,0,0.6423,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,151.5479,153.0474,1.5,153.0498,157.0494,left,1,157.0525,158.0479,0,9,9,12,1,stim/lower.png,stim/congLeft.png,-1,left,0,0.4768,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,158.0488,159.0476,1,159.0499,163.0477,right,1,163.0499,164.0482,0,10,10,18,1,stim/blank.png,stim/congRight.png,-1,right,0,0.6024,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,164.0498,165.0815,1.05,165.0836,169.0806,left,0,169.0818,170.0832,0,11,11,11,1,stim/upper.png,stim/incongRight.png,1,right,0,0.5163,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,170.0837,170.8157,0.75,170.8179,174.8158,right,0,174.816,175.8145,0,12,12,22,1,stim/centre.png,stim/neutralLeft.png,1,left,0,0.5409,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,175.8151,176.4483,0.65,176.4507,180.4475,left,1,180.4493,181.4486,0,13,13,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,0.6474,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,181.4503,182.3817,0.95,182.3839,186.382,left,1,186.3835,187.3813,0,14,14,1,1,stim/both.png,stim/incongLeft.png,1,left,0,0.6029,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,187.3819,188.3814,1,188.383,192.3828,right,1,192.3852,193.382,0,15,15,2,1,stim/centre.png,stim/congRight.png,1,right,0,0.4526,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,193.3827,194.4823,1.1,194.4844,198.4843,left,1,198.4873,199.4827,0,16,16,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,0.6011,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,199.4839,200.3152,0.85,200.3169,204.3161,right,1,204.3182,205.3171,0,17,17,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,0.4526,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,205.3183,205.7173,0.4,205.7193,209.7153,left,1,209.7175,210.7168,0,18,18,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,0.8197,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,210.7184,211.6158,0.9,211.618,215.6163,right,1,215.6184,216.6165,0,19,19,3,1,stim/both.png,stim/incongRight.png,-1,right,0,0.5663,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,216.6172,217.75,1.15,217.7516,221.7494,right,1,221.7514,222.749,0,20,20,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.4473,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,222.7496,223.6833,0.95,223.6857,227.6834,left,1,227.6856,228.6836,0,21,21,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.5891,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,228.6851,229.9847,1.3,229.9869,233.9848,left,1,233.9868,234.9843,0,22,22,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,0.6039,,,,,,,,,,,,,,,,,,,,
,,2026-01-21_21h14.18.952,ant_ver113,2025.2.3,Win32,30.39513678,129879,,,,,234.9861,236.1832,1.2,236.1842,240.1846,right,1,240.1867,241.1841,0,23,23,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,0.6358,,,,,,,,,,,,,,,,,,,,
