location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started
1,0.0004,53.0362,2026-03-03_12h26.13.384,ant_ver113,2025.2.3,Win32,58.82352941,130038,130038,
1,,,2026-03-03_12h26.13.384,ant_ver113,2025.2.3,Win32,58.82352941,130038,130038,53.0365
