location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration
1,0.0015,46.2161,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,46.217,122.9198,,,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,122.9204,134.4407,,,,,,,,,,,,,,,,,,,,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,134.584,135.1745,0.6,135.1777,139.1693,,0,139.196,140.1697,0,0,0,5,1,stim/both.png,stim/congLeft.png,-1,left,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,140.1715,141.666,1.5,141.6693,145.6662,,0,145.6668,146.6643,0,1,1,23,1,stim/both.png,stim/neutralRight.png,1,right,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,146.6905,148.2344,1.55,148.2382,152.2252,,0,152.2253,153.2239,0,2,2,11,1,stim/upper.png,stim/incongRight.png,1,right,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,153.2577,154.3035,1.05,154.305,158.2997,left,1,158.3031,159.2983,0,3,3,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.9376,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,159.3249,160.7146,1.4,160.7201,164.7132,,0,164.7151,165.7091,0,4,4,21,1,stim/centre.png,stim/incongLeft.png,-1,left,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,165.7358,167.1262,1.4,167.1309,171.1205,left,1,171.1223,172.1215,0,5,5,15,1,stim/blank.png,stim/congLeft.png,-1,left,0,0.822,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,172.1494,173.1543,1,173.1585,177.1497,right,1,177.1523,178.1487,0,6,6,0,1,stim/centre.png,stim/congRight.png,-1,right,0,0.8507,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,178.1741,178.8127,0.65,178.814,182.8134,,0,182.8158,183.8078,0,7,7,10,1,stim/lower.png,stim/incongLeft.png,-1,left,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,183.8436,185.0403,1.2,185.0419,189.0392,left,1,189.0417,190.0355,0,8,8,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,1.11,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,190.062,190.753,0.7,190.7553,194.7481,left,1,194.7497,195.7536,0,9,9,9,1,stim/centre.png,stim/congLeft.png,-1,left,0,0.6698,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,195.7806,196.4712,0.7,196.4757,200.4606,left,1,200.464,201.4735,0,10,10,8,1,stim/upper.png,stim/neutralLeft.png,1,left,0,1.4879,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,201.4965,201.9397,0.45,201.9414,205.9433,left,0,205.9455,206.9371,0,11,11,18,1,stim/blank.png,stim/congRight.png,-1,right,0,1.0602,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,206.9602,208.3002,1.35,208.3029,212.2976,left,0,212.2977,213.299,0,12,12,7,1,stim/blank.png,stim/incongRight.png,-1,right,0,1.1366,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,213.3244,214.6279,1.3,214.6303,218.6294,left,1,218.6322,219.628,0,13,13,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,0.8767,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,219.6613,220.6546,1,220.6559,224.6521,,0,224.655,225.6531,0,14,14,13,1,stim/both.png,stim/congRight.png,-1,right,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,225.6776,227.1707,1.5,227.1742,231.1643,,0,231.1644,232.1649,0,15,15,19,1,stim/lower.png,stim/incongRight.png,-1,right,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,232.1901,232.9428,0.75,232.946,236.9443,left,1,236.9486,237.9395,0,16,16,6,1,stim/blank.png,stim/congLeft.png,1,left,0,1.5305,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,237.9738,239.0212,1.05,239.0241,243.0203,,0,243.023,244.0176,0,17,17,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,244.0444,244.8835,0.85,244.8864,248.8801,,0,248.8802,249.8763,0,18,18,3,1,stim/both.png,stim/incongRight.png,-1,right,0,,
1,,,2026-02-21_21h03.29.131,ant_ver113,2025.2.3,Linux x86_64,60.06006006,129773,129773,,,,,249.8994,251.0957,1.2,251.0998,255.0888,right,1,255.0905,256.0887,0,19,19,2,1,stim/centre.png,stim/congRight.png,1,right,0,1.1362,
