location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
3,0.0004,18.3425,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,18.343,54.7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,54.7509,123.9936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,124.04,125.3278,1.3,125.3302,129.3321,left,1,1.1669,,129.3327,130.3332,0,0,0,17,1,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,130.3349,131.2336,0.9,131.2353,135.2376,left,1,0.6015,,135.24,136.2401,0,1,1,14,1,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,136.2416,137.0735,0.85,137.0752,141.0782,left,1,1.3184,,141.0802,142.0788,0,2,2,1,1,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,142.0801,142.58,0.5,142.5815,146.5843,right,1,0.6757,,146.5856,147.586,0,3,3,18,1,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,147.5867,148.5866,1,148.5888,152.592,left,1,0.7339,,152.5937,153.5918,0,4,4,20,1,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,153.5929,154.526,0.95,154.5276,158.5303,left,1,0.5477,,158.5326,159.5312,0,5,5,4,1,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,,,,,,,,,,,,,,
3,,,2026-02-12_16h07.44.703,ant_ver113,2025.2.3,Win32,29.94011976,5296,5296,,,,,159.532,160.733,1.2,160.7345,164.7371,right,1,0.5569,,164.7387,165.7386,0,6,6,13,1,stim/both.png,stim/congRight.png,-1,right,0,,,,,,,,,,,,,,,,,,,
