PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1190.8711,1191.4704,0.6,1191.471,1195.4699,,0,,,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,,,,,,1,40,88,3,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1195.4704,1196.9201,1.45,1196.9204,1200.9198,left,1,0.4421,,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,,,,,,1,41,89,17,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1200.9203,1201.8203,0.9,1201.8209,1205.82,,0,,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,1,42,90,45,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1205.8204,1206.8201,1,1206.8206,1210.8204,right,1,0.5138,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,1,43,91,0,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1210.8208,1211.7204,0.9,1211.7209,1215.7196,right,1,0.4618,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,1,44,92,26,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1215.7201,1216.2201,0.5,1216.2203,1220.2202,left,1,0.6042,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,1,45,93,46,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1220.2206,1221.6203,1.4,1221.6205,1225.6202,right,1,0.3789,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,1,46,94,43,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1225.6205,1226.2701,0.65,1226.2703,1230.2701,right,1,0.4031,,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,,,,,,1,47,95,23,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.2712,1240.812,1,0,1,0,1,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1240.8222,1241.2702,0.45,1241.2707,1245.2702,right,1,0.5667,,,,,,,,,stim/both.png,stim/neutralRight.png,-1,right,0,,,,,,0,0,0,41,1,,,,,,,,,
,,2026-03-19_14h57.06.162,ant_ver113,2025.2.3,MacIntel,120.4819277,,,,,1245.2707,1246.4207,1.15,1246.4214,1250.4204,left,1,0.9886,,,,,,,,,stim/centre.png,stim/incongLeft.png,1,left,0,,,,,,0,1,1,46,1,,,,,,,,,
